"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R9","RESC1608N","2346.457mil","-311.024mil","2346.457mil","-311.024mil","2346.457mil","-344.488mil","T","90.00","150, 5%"
"R10","RESC1608N","704.724mil","633.858mil","704.724mil","633.858mil","704.724mil","667.323mil","T","270.00","10k, 5%"
"R11","RESC1608N","2255.905mil","-311.024mil","2255.905mil","-311.024mil","2255.905mil","-344.488mil","T","90.00","150, 5%"
"R12","RESC3216N","224.409mil","421.26mil","224.409mil","421.26mil","167.323mil","421.26mil","T","360.00","316,1% 1206"
"R13","RESC1608N","2165.354mil","-311.024mil","2165.354mil","-311.024mil","2165.354mil","-344.488mil","T","90.00","150, 5%"
"R14","RESC1608N","271.654mil","543.307mil","271.654mil","543.307mil","305.118mil","543.307mil","T","180.00","100, 1%"
"R15","RESC1608N","2074.803mil","-311.024mil","2074.803mil","-311.024mil","2074.803mil","-344.488mil","T","90.00","150, 5%"
"C21","CAPC1608N","149.606mil","598.425mil","149.606mil","598.425mil","181.102mil","598.425mil","T","180.00","10uF, 10V, X5R, 20%"
"R7","RESC1608N","1216.535mil","1236.22mil","1216.535mil","1236.22mil","1250mil","1236.22mil","T","180.00","10k, 1%"

